FID,X_utm,Y_utm,Altitute,Slope,Slope_Aspect,Topography curverture,Distance from fault,Fault density,Distance from Lineanment,Lineanment density,Distance from river,River density,Distance from road,Spring density,Precipitation,Geology,Land-use,NDVI,Target
0,325390.6818,4076162.855,1,2,5,3,1,2,5,1,1,4,5,1,3,1,3,1,0
1,325475.3486,4077291.746,1,2,1,3,3,2,2,1,1,4,1,1,3,3,14,3,0
2,324417.0132,4076868.412,1,2,1,3,1,2,2,1,5,4,5,1,3,1,3,1,0
3,323556.2337,4076501.522,1,2,2,3,1,2,4,1,5,4,3,1,3,1,3,1,0
4,322808.3433,4077291.746,1,2,2,3,1,2,2,1,5,4,4,1,3,1,6,5,0
5,324007.7901,4077503.413,1,2,4,3,5,2,3,1,4,4,5,1,3,1,4,5,0
6,324275.9018,4079351.973,1,2,1,3,3,1,5,1,3,4,4,1,3,1,4,1,0
7,320649.339,4077122.413,1,2,2,3,1,4,3,1,5,3,3,1,3,1,3,4,0
8,323147.0106,4073735.739,1,2,2,3,1,5,2,1,3,3,5,1,3,1,4,1,0
9,323513.9002,4074836.408,1,2,4,3,1,4,1,1,1,3,1,1,3,1,4,1,0
10,320640.5195,4078921.583,1,2,2,3,1,4,4,1,1,4,5,1,3,1,3,5,0
11,319635.1008,4079186.167,1,2,3,3,1,4,2,1,1,4,3,1,3,1,15,5,0
12,319688.0176,4080438.53,1,2,3,3,1,4,2,1,4,4,5,1,3,1,3,4,0
13,322051.6334,4080844.226,1,2,5,3,1,1,2,1,5,4,1,1,3,1,15,5,0
14,321063.8537,4081355.754,1,2,1,3,1,2,2,1,5,4,1,1,3,1,15,1,0
15,318546.4264,4080975.459,1,2,2,3,1,5,2,1,3,4,5,1,3,1,3,5,0
16,316754.3117,4080368.68,1,2,2,3,1,5,2,1,1,3,1,1,3,1,3,2,0
17,315597.1983,4080058.235,1,2,2,3,1,5,2,1,1,3,1,1,3,1,3,1,0
18,314341.3069,4079225.678,1,2,4,3,1,3,3,1,1,3,5,1,3,1,3,5,0
19,317629.2024,4081793.905,1,2,3,3,1,5,2,1,5,4,1,1,3,1,3,1,0
20,316556.7558,4082584.129,1,2,9,3,1,5,2,1,1,4,5,1,3,1,3,4,0
21,315427.8646,4083459.02,1,2,4,3,1,5,2,1,1,3,1,1,3,1,3,1,0
22,314313.0846,4083473.131,1,2,2,3,1,5,2,1,3,3,4,1,3,1,3,5,0
23,316006.4213,4089823.144,1,2,8,3,1,2,2,2,5,4,5,1,2,1,15,2,0
24,316838.9786,4089286.92,1,2,5,3,1,2,2,2,3,4,5,1,2,1,7,2,0
25,317488.091,4088666.03,1,2,1,3,1,2,2,2,3,4,5,1,2,1,11,2,0
26,318221.8702,4088228.585,1,2,5,3,1,2,2,2,1,4,5,1,2,1,12,3,0
27,317248.2016,4087861.695,1,2,4,3,1,2,2,2,1,4,5,1,2,2,11,3,0
28,318038.4254,4087029.138,1,2,1,3,1,2,4,2,1,4,4,1,2,1,12,4,0
29,319195.5388,4085872.025,1,2,6,3,1,2,2,2,5,4,5,1,3,2,11,5,0
30,309868.0757,4089921.922,1,2,5,3,1,4,2,1,3,4,5,1,2,1,3,2,0
31,309712.8532,4090810.923,1,2,1,3,1,4,2,1,3,4,5,1,2,1,6,1,0
32,309430.6304,4088355.585,1,2,9,3,3,5,2,2,1,4,4,1,3,1,3,5,0
33,306721.2917,4089809.032,1,2,7,3,5,4,2,2,1,4,5,1,3,3,15,3,0
34,304223.62,4089117.587,1,2,3,3,1,5,2,2,3,4,4,1,3,1,3,3,0
35,303588.6187,4088242.696,1,2,2,3,1,5,2,2,5,4,2,1,3,3,15,2,0
36,305056.1772,4091220.146,1,2,9,3,5,4,5,1,1,4,1,1,3,1,3,3,0
37,306961.181,4092179.704,1,2,2,3,1,4,2,1,5,4,1,1,2,1,12,1,0
38,308033.6276,4091022.59,1,2,4,3,1,4,2,1,4,4,5,1,2,1,3,5,0
39,308400.5172,4091996.259,1,2,7,3,1,4,2,1,1,3,5,1,2,1,3,5,0
40,309091.9631,4097810.048,1,2,6,3,1,4,2,2,1,3,4,1,4,1,15,3,0
41,303235.8402,4097753.604,1,2,1,3,1,2,4,1,1,3,5,1,4,1,3,3,0
42,303757.9524,4098769.606,1,2,9,3,1,2,2,1,4,3,2,1,5,1,15,5,0
43,301203.8362,4098445.05,1,2,4,3,1,4,2,1,1,3,5,1,5,1,3,3,0
44,301401.3921,4100138.386,1,2,5,3,1,4,2,1,1,3,2,1,5,1,3,5,0
45,300145.5007,4100406.498,1,2,6,3,1,4,2,1,1,3,3,1,5,1,11,2,0
46,297972.3853,4095989.711,1,2,9,3,1,5,3,2,5,5,2,1,4,1,3,4,0
47,298353.386,4095227.71,1,2,4,3,1,5,2,2,1,5,4,1,1,1,3,1,0
48,298099.3855,4098078.16,1,2,2,3,1,4,1,1,1,5,3,1,5,1,3,4,0
49,299157.721,4098459.161,1,2,2,3,4,4,2,1,1,5,1,1,5,1,3,5,0
50,299566.944,4101521.278,1,2,9,3,1,4,2,1,4,3,5,1,5,1,3,4,0
51,300865.1688,4102438.502,1,2,1,3,1,4,2,1,1,3,3,1,5,1,11,3,0
52,301923.5043,4101605.945,1,2,5,3,1,4,2,1,1,3,1,1,5,1,15,2,0
53,299242.3878,4103581.504,1,2,5,3,1,4,4,1,4,3,1,1,5,1,11,1,0
54,298028.8298,4103595.616,1,2,5,3,1,4,4,1,3,3,4,1,5,1,3,1,0
55,297379.7174,4102946.503,1,2,1,3,3,4,2,1,1,3,5,1,5,1,3,1,0
56,295827.4921,4103383.948,1,2,4,3,1,4,2,1,5,3,5,1,5,1,3,4,0
57,298145.8881,4104999.186,1,2,9,3,1,4,4,1,5,3,1,1,5,2,15,5,0
58,298172.3465,4105443.687,1,2,6,3,1,4,2,2,1,3,1,1,5,2,15,2,0
59,298188.2216,4105925.23,1,2,8,3,1,4,5,2,1,3,2,1,5,3,14,2,0
60,297801.9291,4106163.355,1,2,1,3,1,4,1,2,1,3,1,1,5,1,15,2,0
61,297203.9696,4106179.23,1,2,2,3,1,4,5,2,5,3,1,1,5,1,15,2,0
62,297203.9696,4106681.94,1,2,9,3,1,4,3,2,5,3,1,1,5,1,15,2,0
63,295431.2577,4106073.397,1,2,1,2,1,4,2,2,5,3,2,1,5,3,15,2,0
64,295373.0493,4105565.396,1,2,2,3,1,4,3,1,4,3,1,1,5,3,15,2,0
65,295637.6331,4104544.102,1,2,1,3,1,4,4,1,5,3,3,1,5,1,15,3,0
66,296870.5939,4105380.187,1,2,1,3,1,4,1,1,1,3,4,1,5,1,15,4,0
67,297076.9693,4103861.476,1,2,2,3,3,4,2,1,1,3,3,1,5,1,15,5,0
68,293717.0128,4106006.656,1,2,5,3,1,4,5,2,5,3,1,1,5,1,11,5,0
69,292542.2604,4105921.99,1,2,8,3,1,4,1,2,1,3,2,1,5,1,11,1,0
70,290210.1608,4106146.685,1,2,3,3,1,4,5,2,3,3,3,1,5,1,3,1,0
71,289363.4925,4105398.795,1,2,6,3,2,4,4,5,1,3,1,1,5,1,15,1,0
72,264758.5832,4090922.893,2,2,8,3,1,4,2,2,5,2,2,3,5,1,10,2,0
73,263391.5666,4088938.514,2,2,1,3,1,5,2,2,5,2,1,5,5,1,10,2,0
74,261627.6742,4086292.676,2,2,6,3,1,3,2,1,5,2,5,4,5,1,10,3,0
75,262950.5935,4082632.599,2,2,6,3,1,1,2,2,5,2,1,1,5,1,10,3,0
76,261583.5768,4079413.495,2,2,6,3,1,5,2,1,2,2,2,1,5,1,10,3,0
77,267580.8111,4080163.15,2,2,6,3,1,5,2,5,3,2,1,4,5,1,10,3,0
78,267801.2976,4077517.311,2,2,1,3,1,5,2,2,1,2,1,4,5,1,10,2,0
79,264582.194,4073504.456,2,2,6,3,1,5,2,1,2,2,5,4,5,1,7,2,0
80,267536.7137,4074165.915,2,2,1,3,1,5,2,2,1,2,5,4,5,1,10,2,0
81,353070.7969,4000993.778,2,2,1,3,1,1,2,5,1,1,5,4,1,1,10,3,0
82,351791.9749,4002316.698,2,2,5,3,1,3,2,5,1,1,3,4,1,1,10,2,0
83,349278.4282,4003639.617,2,2,1,3,1,3,2,5,1,1,2,4,1,1,10,3,0
84,347602.7304,4005227.12,2,2,1,3,1,3,2,5,1,1,2,5,1,1,15,3,0
85,345353.7675,4007872.959,2,2,1,3,1,3,2,5,3,1,5,5,1,1,10,3,0
86,345265.5729,4010254.214,2,2,1,3,1,5,2,5,5,1,2,5,1,1,10,3,0
87,340988.1338,4010606.992,2,2,1,3,1,3,2,5,2,1,4,4,1,1,7,4,0
88,339973.8957,4013870.193,2,2,5,3,1,3,2,5,1,1,5,5,1,1,10,3,0
89,337283.9597,4014752.139,2,2,1,3,1,3,2,5,1,1,1,5,1,1,10,1,0
90,329214.1519,4009548.657,2,2,2,3,1,4,2,2,2,1,3,3,1,1,4,1,0
91,329875.6116,4005976.774,2,2,2,3,4,4,2,2,1,2,1,2,1,1,3,5,0
92,333094.7152,4004697.952,2,2,2,3,1,5,2,2,2,1,5,1,1,1,3,1,0
93,336931.1812,4003110.449,3,2,2,3,1,4,2,5,2,1,1,2,1,1,3,1,0
94,340503.0634,4000067.735,3,2,2,3,1,5,2,5,1,1,1,3,1,1,3,1,0
95,340591.258,3997069.118,3,2,4,3,1,5,2,5,3,1,2,3,4,1,10,3,0
96,341561.3988,3994158.695,3,2,3,3,1,5,2,5,5,2,2,3,4,1,10,3,0
97,342663.8316,3991380.565,3,2,2,3,1,3,2,5,1,2,5,3,4,1,11,3,0
98,344251.3348,3989219.796,3,2,2,3,1,3,2,5,1,2,5,5,5,1,16,3,0
99,345486.0595,3986750.347,3,2,2,3,1,3,2,5,4,1,1,5,5,1,11,3,0
100,347470.4384,3989440.283,3,2,3,2,1,3,2,5,5,1,3,4,4,1,10,3,0
101,345397.8648,3994467.376,3,2,2,3,1,3,2,5,4,1,5,4,4,1,3,3,0
102,345309.6702,3998347.94,3,2,5,3,1,3,2,1,1,1,3,4,1,1,4,5,0
103,348881.5524,3994335.084,3,2,9,3,1,1,2,1,1,1,2,4,4,1,3,5,0
104,350954.126,3993585.43,3,2,5,3,1,1,2,1,3,1,1,4,4,1,10,3,0
105,351262.8071,3997245.507,3,2,1,3,1,1,2,1,1,1,2,4,1,1,10,3,0
106,348131.8981,3999273.983,3,2,1,3,1,1,2,1,1,1,5,4,1,1,10,2,0
107,345353.7675,4003022.255,3,2,5,3,1,1,2,5,1,1,5,4,1,1,3,3,0
108,342663.8316,4006461.845,3,2,1,3,1,1,2,5,3,1,5,4,1,1,3,4,0
109,340723.5499,4008313.932,3,2,5,3,1,1,2,5,2,1,3,4,1,1,3,1,0
110,338871.4629,4010166.019,2,2,1,3,1,1,2,5,2,1,3,4,1,1,3,1,0
111,336975.2786,4012326.787,2,2,1,3,1,1,2,5,4,1,2,4,1,1,3,4,0
112,333491.591,4012855.955,2,2,5,3,1,3,2,5,4,1,1,4,1,1,3,1,0
113,331948.1852,4011180.257,2,2,4,3,1,5,2,5,1,1,1,4,1,1,4,1,0
114,332653.7421,4007961.153,2,2,4,3,1,5,2,5,2,1,1,5,1,1,3,5,0
115,335079.0942,4009460.462,3,2,4,3,1,1,2,1,1,1,2,1,1,1,4,1,0
116,337151.6678,4006417.747,3,2,4,3,1,3,2,5,2,1,4,5,4,1,4,1,0
117,340326.6741,4004477.466,3,2,1,3,1,3,2,1,2,1,5,4,1,1,4,1,0
118,342840.2208,4001302.459,3,2,5,3,1,3,2,1,4,1,5,4,1,1,3,3,0
119,346456.2003,4011577.133,2,2,1,3,1,5,2,5,4,1,5,5,1,4,10,3,0
120,355319.7597,4003463.228,2,2,1,3,1,3,2,5,5,1,3,4,1,1,10,2,0
121,340944.0365,3992306.608,2,2,2,3,1,5,2,5,4,2,2,3,4,1,11,3,0
122,346279.8111,3985736.109,3,2,2,3,1,1,2,5,5,1,4,4,5,1,11,5,0
123,345838.8379,3991777.44,3,2,2,3,1,3,2,5,1,1,1,4,4,1,3,1,0
124,349146.1362,3991689.246,3,2,2,3,1,1,2,1,1,1,3,4,4,1,10,3,0
125,343060.7074,3997598.285,3,2,4,3,1,5,2,5,2,1,5,5,4,1,4,5,0
126,346015.2272,4000508.708,3,2,5,3,1,1,2,5,2,1,2,4,1,1,15,3,0
127,339444.7279,4002713.573,3,2,4,3,1,5,2,5,4,1,5,3,1,1,4,4,0
128,343319.9996,4012466.135,2,2,1,3,1,5,2,5,5,1,2,5,1,1,10,3,0
129,342275.7753,4015443.585,2,2,6,3,1,5,2,5,1,2,4,3,1,4,10,3,0
130,340046.2152,4015471.807,2,2,5,3,1,3,2,5,4,1,2,3,1,1,10,3,0
131,338141.2114,4016078.586,2,2,5,3,1,3,2,5,1,1,3,3,1,1,10,3,0
132,337463.8768,4017024.033,2,2,1,3,1,3,2,5,1,1,3,3,1,1,10,3,0
133,336193.8742,4016403.142,2,2,5,3,1,3,2,5,4,1,5,3,1,1,10,5,0
134,350160.3744,4005726.302,2,2,1,3,1,5,2,2,3,2,4,5,1,1,10,3,0
135,338624.518,3997202.586,2,2,4,3,1,4,2,5,4,2,3,2,4,1,11,3,0
136,336648.9585,3999001.756,2,2,3,3,1,4,2,5,1,2,4,1,4,4,4,3,0
137,334426.454,4000501.064,2,2,2,2,1,4,2,2,4,2,4,1,4,4,11,3,0
138,337213.404,4001418.288,3,2,4,3,1,4,2,5,1,1,1,1,1,1,10,3,0
139,333544.5078,4002741.208,2,2,3,3,5,4,2,2,3,1,1,1,1,1,10,3,0
140,334673.3989,4004399.267,3,2,2,3,1,5,2,5,3,1,5,2,1,1,10,3,0
141,330725.2198,4003311.533,2,2,3,3,1,4,2,2,1,2,4,1,4,4,10,3,0
142,328590.9099,4004881.397,2,2,2,3,1,4,2,2,1,2,1,1,1,1,11,3,0
143,329384.6615,4007121.541,2,2,9,3,1,4,2,2,1,1,2,2,1,1,11,3,0
144,329543.1179,4012093.365,2,2,4,3,1,4,2,2,1,1,5,5,1,1,4,1,0
145,326622.112,4011232.586,2,2,3,3,1,2,2,2,1,2,3,3,1,1,11,3,0
146,326170.5556,4012897.7,2,2,4,3,1,4,4,2,1,2,1,3,1,4,11,3,0
147,322120.6586,4010809.252,2,2,9,3,1,4,2,1,4,2,1,2,1,4,4,1,0
148,324505.4411,4009623.916,2,2,9,3,1,4,4,1,1,2,1,2,1,4,16,3,0
149,325154.5535,4008551.469,2,2,4,3,1,4,3,2,3,2,3,2,1,1,11,3,0
150,325718.9991,4009581.583,2,2,4,3,1,4,2,2,4,2,1,3,1,5,11,3,0
151,310943.7024,4023897.897,2,2,3,3,1,2,2,5,5,2,2,5,2,1,10,1,0
152,317827.7519,4033376.338,2,2,1,3,1,3,2,5,1,2,1,4,4,1,10,3,0
153,314432.259,4035272.522,2,2,6,3,1,3,2,5,1,1,3,4,4,1,3,5,0
154,310463.5011,4039108.988,2,2,1,3,1,1,2,5,1,1,3,4,4,1,10,3,0
155,306627.0351,4042372.189,2,2,6,3,1,1,2,5,3,1,4,4,5,1,10,5,0
156,304730.8507,4048193.034,2,2,1,3,1,3,2,5,1,2,1,4,4,1,10,3,0
157,300938.482,4050133.316,2,2,1,3,1,5,2,5,5,2,5,4,4,1,10,3,0
158,297234.3079,4051456.235,2,2,1,3,1,5,2,5,4,2,3,4,1,1,10,3,0
159,296484.6537,4047884.353,2,2,6,3,1,4,2,5,3,2,5,4,1,1,3,2,0
160,296440.5564,4044665.25,2,2,4,3,1,2,2,5,1,2,1,4,4,1,10,3,0
161,296175.9725,4041490.243,2,2,2,3,1,2,2,5,1,1,1,4,4,1,3,3,0
162,294897.1505,4038623.918,2,2,6,3,4,2,5,5,3,1,4,3,1,1,10,3,0
163,299218.6869,4033464.533,2,2,3,3,1,4,2,5,1,1,1,5,1,1,10,3,0
164,301820.4282,4030421.818,2,2,3,3,1,5,2,5,1,1,4,4,1,1,10,3,0
165,308920.0952,4027731.882,2,2,3,3,1,4,2,5,3,1,4,4,1,1,3,3,0
166,312491.9774,4035801.69,2,2,1,3,1,3,2,5,2,1,1,4,4,1,10,3,0
167,309008.2898,4033640.922,2,2,6,3,1,3,2,1,2,1,1,1,1,1,3,3,0
168,304289.8776,4037124.609,2,2,6,3,1,3,2,1,1,1,5,1,4,1,3,5,0
169,302217.304,4040916.978,2,2,6,3,1,5,2,5,2,1,3,1,4,1,3,3,0
170,301688.1363,4044356.568,2,2,1,3,1,5,2,1,2,1,3,4,5,1,3,5,0
171,300365.217,4047046.504,2,2,6,3,1,5,2,5,1,1,5,4,5,1,3,1,0
172,299791.952,4040035.032,2,2,3,3,1,4,2,5,2,1,4,4,4,1,8,3,0
173,299880.1466,4036727.734,2,2,2,3,1,4,2,5,4,1,5,4,4,1,3,5,0
174,304157.5857,4031788.835,2,2,3,3,1,3,2,5,3,1,3,4,1,1,3,3,0
175,306759.327,4029142.996,2,2,3,3,1,5,2,5,5,1,1,4,1,1,3,3,0
176,299086.395,4029672.164,2,2,2,3,1,5,2,5,3,1,1,5,1,1,10,2,0
177,307817.6624,4040123.227,2,2,6,3,1,1,2,5,3,1,4,4,4,1,3,4,0
178,310419.4038,4031215.57,2,2,7,3,1,3,2,1,2,1,4,1,1,1,3,3,0
179,293785.3103,4053237.767,2,2,1,3,1,5,2,5,3,2,1,4,1,1,10,3,0
180,288599.4666,4055777.772,2,2,6,3,1,4,2,2,1,2,5,4,1,1,12,3,0
181,284260.2913,4057682.776,2,2,5,3,4,2,2,2,1,2,3,4,1,1,10,2,0
182,278968.614,4060011.114,2,2,1,3,1,2,2,2,1,2,5,4,4,1,8,5,0
183,274841.1058,4061916.117,2,2,1,3,1,2,2,5,2,2,5,4,5,1,5,3,0
184,272512.7678,4069006.965,2,2,1,3,1,2,1,2,2,2,3,4,5,4,11,2,0
185,267750.2582,4062551.119,3,2,7,3,1,1,2,5,2,2,5,4,5,1,3,3,0
186,264998.5861,4059587.779,2,2,4,3,1,1,2,2,5,2,4,5,5,1,10,3,0
187,268279.426,4058846.945,2,2,3,3,1,1,2,5,5,2,1,4,5,1,11,2,0
188,306873.392,4036657.178,2,2,1,3,1,1,2,1,3,1,4,1,4,1,3,3,0
189,302287.2718,4034046.617,2,2,3,3,1,3,2,5,1,1,1,4,1,1,3,2,0
190,304051.1642,4041807.744,2,2,6,3,1,3,2,5,1,1,1,1,5,1,3,5,0
191,304756.7211,4045053.306,2,2,6,3,1,3,2,5,1,1,4,4,5,1,10,3,0
192,296501.7046,4035739.954,2,2,4,3,2,4,2,5,1,1,4,3,1,1,10,3,0
193,304051.1642,4028684.384,2,2,3,3,1,5,2,5,2,1,5,4,1,1,10,4,0
194,313928.9617,4032988.282,2,2,6,3,1,3,2,5,3,1,5,4,1,1,10,3,0
195,285772.829,4039695.483,5,2,3,3,1,5,2,2,3,2,5,1,1,1,16,5,0
196,284714.4936,4039395.621,5,2,3,3,1,5,2,2,3,2,3,1,1,1,16,3,0
197,285666.9955,4036591.032,5,2,4,3,1,5,2,2,3,2,1,1,1,1,4,3,0
198,286619.4974,4041424.097,5,2,3,3,1,4,2,2,5,2,1,2,1,1,10,3,0
199,284114.7701,4042112.015,5,2,7,3,1,4,2,2,3,2,1,2,1,1,16,3,0
200,283038.7958,4043946.463,5,2,4,3,1,4,2,1,1,2,1,2,1,1,16,2,0
201,285490.6062,4045287.022,2,2,4,3,1,4,2,2,4,2,4,3,2,1,10,3,0
202,283973.6587,4046574.663,2,2,4,3,1,4,2,1,4,2,4,3,1,5,16,2,0
203,284538.1043,4048215.083,2,2,4,3,1,5,5,1,5,2,3,3,1,1,10,3,0
204,286584.2195,4048215.083,2,2,4,3,1,4,2,2,4,2,2,3,2,1,10,3,0
205,288577.4179,4047721.193,2,2,3,3,1,4,2,2,5,2,4,5,2,1,10,3,0
206,289723.948,4046627.58,2,2,3,3,1,4,2,2,1,2,5,5,2,1,10,3,0
207,292158.1196,4044775.493,2,2,8,3,1,2,2,5,3,2,1,5,1,1,10,3,0
208,290235.4768,4042729.378,2,2,2,3,3,2,2,5,5,2,4,3,1,1,10,3,0
209,290464.7828,4038372.563,2,2,2,3,1,2,2,5,5,2,1,2,1,1,10,3,0
210,293004.7879,4038478.397,2,2,3,3,1,2,2,5,5,2,3,3,1,1,10,3,0
211,293675.067,4040312.845,2,2,7,3,2,1,2,5,1,2,1,3,1,1,4,3,0
212,292052.286,4042094.376,2,2,2,3,4,2,2,5,3,2,5,5,1,1,10,3,0
213,293622.1503,4045092.993,2,2,9,3,1,2,2,5,1,2,5,4,1,1,10,2,0
214,303455.8505,4050640.435,2,2,5,3,1,3,2,5,1,2,1,4,4,1,10,3,0
215,300175.0106,4052201.48,2,2,1,3,1,5,2,5,3,2,5,4,4,1,10,3,0
216,296629.5868,4054423.984,2,2,1,3,1,5,2,5,4,2,3,4,1,1,10,3,0
217,295095.0004,4051778.146,2,2,6,3,1,5,2,5,4,2,1,4,1,1,3,1,0
218,292184.5779,4051619.395,2,2,6,3,1,5,2,5,1,2,3,4,2,1,10,3,0
219,291099.7841,4054132.942,2,2,5,3,1,5,2,2,1,2,5,4,1,1,10,2,0
220,293983.7482,4055614.612,2,2,1,3,1,3,2,5,5,2,5,4,1,1,10,2,0
221,284458.7292,4049873.142,2,2,3,3,1,4,2,1,1,5,3,3,1,1,10,2,0
222,280304.7625,4050825.644,2,2,4,3,1,2,5,1,5,5,3,5,1,1,16,3,0
223,278479.1339,4047888.763,5,2,2,3,1,4,2,1,5,2,2,5,1,4,16,3,0
224,290235.4768,4056858.156,2,2,5,3,1,5,2,5,3,2,5,4,1,1,10,3,0
225,289441.7252,4054141.762,2,2,6,3,1,4,2,2,1,2,5,4,1,1,10,2,0
226,285825.7458,4055852.737,2,2,1,3,1,2,2,2,1,2,2,4,1,1,4,3,0
227,287713.1107,4058145.797,2,2,1,3,1,4,2,5,3,2,4,4,1,1,10,3,0
228,285719.9122,4057581.352,2,2,1,3,1,2,2,5,3,2,1,4,1,1,10,2,0
229,283744.3527,4056875.795,2,2,2,3,1,2,2,2,3,2,1,4,1,1,3,1,0
230,283497.4078,4059698.023,2,2,6,3,1,2,2,5,1,2,5,4,4,1,11,2,0
231,281310.1812,4058851.354,2,2,1,3,1,2,2,5,2,2,1,4,4,1,4,5,0
232,279511.0109,4058657.326,2,2,1,3,1,1,2,2,1,2,3,4,4,1,4,1,0
233,282103.9328,4062167.472,2,2,5,3,1,4,4,5,4,2,4,4,4,1,5,3,0
234,279740.3169,4062096.916,2,2,6,3,1,2,2,5,1,1,5,4,4,1,11,2,0
235,277923.5078,4063437.475,2,2,1,3,1,4,2,5,1,1,2,4,5,1,5,4,0
236,276600.5884,4065007.339,2,2,6,3,1,2,2,2,5,1,3,4,5,1,11,3,0
237,274977.8074,4065077.894,2,2,5,3,1,2,2,2,1,1,2,4,5,1,11,3,0
238,272808.2197,4063596.225,2,2,8,3,1,2,2,2,4,1,4,4,5,1,4,5,0
239,273072.8036,4061973.444,2,2,8,3,1,2,2,5,4,2,5,4,5,1,5,2,0
240,274395.7229,4060244.829,2,2,1,3,1,1,2,5,1,2,5,4,5,1,4,4,0
241,276230.171,4059592.189,2,2,5,3,1,1,2,5,1,2,3,4,5,1,3,4,0
242,277623.646,4061514.832,2,2,1,3,1,2,2,5,3,2,5,4,5,1,5,2,0
243,275454.0584,4063860.809,2,2,6,3,1,2,2,2,2,1,1,4,5,1,5,2,0
244,265474.69,4057196.97,2,2,7,3,1,1,2,2,4,2,5,5,5,1,10,3,0
245,313299.6931,3997821.412,5,2,5,3,1,3,2,5,4,2,1,5,4,1,10,2,0
246,307231.9032,4002336.976,5,2,1,3,1,1,2,5,4,2,3,4,4,1,10,3,0
247,303280.7842,3999303.081,2,2,7,3,1,3,2,5,3,1,5,4,4,1,10,3,0
248,298059.6626,3998244.746,2,2,8,3,1,1,2,5,5,1,5,4,5,1,3,3,0
249,292556.3183,4000149.75,2,2,5,3,1,1,2,5,1,1,5,4,5,1,3,1,0
250,286629.6397,4004030.313,2,2,2,3,1,1,2,5,3,1,1,4,5,1,5,3,0
251,279291.8473,4006288.095,2,2,3,3,1,1,2,5,1,2,1,5,5,1,10,2,0
